node_id,node_type,region,organization_type,years_active,size_category,specialty_area,annual_volume,quality_score,engagement_level,urban_rural,funding_type
University_Medical_Center,central_hub,Central,academic_medical,25,large,comprehensive,50000,95,100,urban,mixed
Regional_Hub_West,regional_hub,West,hub_organization,8,medium,coordination,0,88,95,urban,grant
Regional_Hub_East,regional_hub,East,hub_organization,8,medium,coordination,0,86,92,urban,grant
Regional_Hub_Central,regional_hub,Central,hub_organization,10,medium,coordination,0,92,98,urban,grant
Regional_Hub_North,regional_hub,North,hub_organization,5,medium,coordination,0,82,88,suburban,grant
Regional_Hub_South,regional_hub,South,hub_organization,5,medium,coordination,0,83,87,suburban,grant
Research_Institute,support,Central,research,15,medium,research,0,94,85,urban,federal
Data_Center,support,Central,infrastructure,12,small,data_management,0,90,90,urban,institutional
Training_Center,support,Central,education,10,small,training,0,91,93,urban,mixed
Quality_Improvement_Team,support,Central,quality,6,small,quality_assurance,0,89,85,urban,grant
Policy_Advisory_Board,support,Central,governance,8,small,policy,0,85,75,urban,institutional
Telehealth_Platform,support,Central,technology,5,small,digital_health,0,87,88,urban,private
Specialist_Network_Cardio,specialist_group,Multi,specialty_network,10,medium,cardiology,0,93,90,urban,mixed
Specialist_Network_Diabetes,specialist_group,Multi,specialty_network,10,medium,endocrinology,0,92,89,urban,mixed
Specialist_Network_Mental_Health,specialist_group,Multi,specialty_network,7,medium,mental_health,0,88,85,urban,mixed
Hospital_W01,hospital,West,hospital,15,large,general,12000,85,88,suburban,mixed
Hospital_W02,hospital,West,hospital,12,medium,general,8000,83,85,suburban,mixed
Hospital_E01,hospital,East,hospital,16,large,general,13000,86,89,suburban,mixed
Hospital_E02,hospital,East,hospital,11,medium,general,7500,82,84,suburban,mixed
Hospital_C01,hospital,Central,hospital,20,large,general,15000,88,92,urban,mixed
Hospital_C02,hospital,Central,hospital,14,medium,general,9000,85,87,suburban,mixed
Hospital_N01,hospital,North,hospital,8,medium,general,6500,80,82,suburban,mixed
Hospital_S01,hospital,South,hospital,8,medium,general,6800,81,83,suburban,mixed
Clinic_W01,clinic,West,clinic,6,small,primary_care,2200,82,85,rural,mixed
Clinic_W02,clinic,West,clinic,6,small,primary_care,2100,80,83,rural,mixed
Clinic_W03,clinic,West,clinic,5,small,primary_care,1900,79,81,rural,public
Clinic_W04,clinic,West,clinic,5,small,primary_care,1850,78,79,rural,public
Clinic_W05,clinic,West,clinic,6,small,family_medicine,2300,83,86,rural,mixed
Clinic_W06,clinic,West,clinic,4,small,primary_care,1700,77,75,rural,public
Clinic_W07,clinic,West,clinic,4,small,primary_care,1650,76,74,rural,public
Clinic_W08,clinic,West,clinic,3,small,primary_care,1500,75,70,rural,public
Clinic_E01,clinic,East,clinic,6,small,primary_care,2250,81,84,rural,mixed
Clinic_E02,clinic,East,clinic,6,small,primary_care,2150,80,82,rural,mixed
Clinic_E03,clinic,East,clinic,5,small,primary_care,1950,78,80,rural,public
Clinic_E04,clinic,East,clinic,5,small,primary_care,1875,77,78,rural,public
Clinic_E05,clinic,East,clinic,5,small,family_medicine,2350,82,85,rural,mixed
Clinic_E06,clinic,East,clinic,4,small,primary_care,1725,76,73,rural,public
Clinic_E07,clinic,East,clinic,4,small,primary_care,1675,75,72,rural,public
Clinic_E08,clinic,East,clinic,3,small,primary_care,1525,74,68,rural,public
Clinic_C01,clinic,Central,clinic,8,small,primary_care,2400,84,88,suburban,mixed
Clinic_C02,clinic,Central,clinic,8,small,primary_care,2300,83,86,suburban,mixed
Clinic_C03,clinic,Central,clinic,6,small,primary_care,2050,81,83,rural,mixed
Clinic_C04,clinic,Central,clinic,6,small,primary_care,2000,80,82,rural,mixed
Clinic_C05,clinic,Central,clinic,5,small,family_medicine,2450,84,87,suburban,mixed
Clinic_C06,clinic,Central,clinic,5,small,primary_care,1800,78,77,rural,public
Clinic_C07,clinic,Central,clinic,4,small,primary_care,1750,77,75,rural,public
Clinic_C08,clinic,Central,clinic,3,small,primary_care,1600,76,71,rural,public
Clinic_N01,clinic,North,clinic,4,small,primary_care,1900,78,80,rural,mixed
Clinic_N02,clinic,North,clinic,4,small,primary_care,1850,77,78,rural,mixed
Clinic_N03,clinic,North,clinic,3,small,primary_care,1700,75,73,rural,public
Clinic_N04,clinic,North,clinic,3,small,primary_care,1650,74,71,rural,public
Clinic_N05,clinic,North,clinic,2,small,primary_care,1500,73,68,rural,public
Clinic_S01,clinic,South,clinic,4,small,primary_care,1925,78,79,rural,mixed
Clinic_S02,clinic,South,clinic,4,small,primary_care,1875,77,77,rural,mixed
Clinic_S03,clinic,South,clinic,3,small,primary_care,1725,75,72,rural,public
Clinic_S04,clinic,South,clinic,3,small,primary_care,1675,74,70,rural,public
Clinic_S05,clinic,South,clinic,2,small,primary_care,1525,73,67,rural,public
Community_Partners_West,community,West,community_org,7,small,outreach,0,80,75,mixed,nonprofit
Community_Partners_East,community,East,community_org,7,small,outreach,0,79,74,mixed,nonprofit
Community_Partners_Central,community,Central,community_org,9,small,outreach,0,82,78,mixed,nonprofit
