quarter,node_id,metric_type,metric_value,data_quality
2019_Q1,,network_size,5,complete
2019_Q1,,network_density,0.80,complete
2019_Q1,hub_01,participation_rate,100,complete
2019_Q1,spoke_01,participation_rate,85,complete
2019_Q1,spoke_01,knowledge_score,3.5,complete
2019_Q1,spoke_01,patient_volume,12,complete
2019_Q1,spoke_02,participation_rate,90,complete
2019_Q1,spoke_02,knowledge_score,4.0,complete
2019_Q1,spoke_02,patient_volume,28,complete
2019_Q1,spoke_03,participation_rate,75,complete
2019_Q1,spoke_03,knowledge_score,2.5,complete
2019_Q1,spoke_03,patient_volume,5,complete
2019_Q1,spoke_04,participation_rate,88,complete
2019_Q1,spoke_04,knowledge_score,3.8,complete
2019_Q1,spoke_04,patient_volume,18,complete
2019_Q2,,network_size,6,complete
2019_Q2,,network_density,0.73,complete
2019_Q2,spoke_01,knowledge_score,4.2,complete
2019_Q2,spoke_01,patient_volume,15,complete
2019_Q2,spoke_02,knowledge_score,4.5,complete
2019_Q2,spoke_02,patient_volume,32,complete
2019_Q2,spoke_03,knowledge_score,3.2,complete
2019_Q2,spoke_03,patient_volume,8,complete
2019_Q2,spoke_04,knowledge_score,4.3,complete
2019_Q2,spoke_04,patient_volume,22,complete
2019_Q2,spoke_05,participation_rate,70,complete
2019_Q2,spoke_05,knowledge_score,2.8,complete
2019_Q2,spoke_05,patient_volume,7,complete
2019_Q3,,network_size,8,complete
2019_Q3,,network_density,0.64,complete
2019_Q3,spoke_01,knowledge_score,4.8,complete
2019_Q3,spoke_01,patient_volume,18,complete
2019_Q3,spoke_01,implementation_score,5,complete
2019_Q3,spoke_02,knowledge_score,5.0,complete
2019_Q3,spoke_02,patient_volume,38,complete
2019_Q3,spoke_02,implementation_score,6,complete
2019_Q3,spoke_06,participation_rate,65,complete
2019_Q3,spoke_06,knowledge_score,2.0,partial
2019_Q3,spoke_07,participation_rate,78,complete
2019_Q3,spoke_07,knowledge_score,2.5,complete
2019_Q4,,network_size,9,complete
2019_Q4,,network_density,0.58,complete
2019_Q4,spoke_01,knowledge_score,5.2,complete
2019_Q4,spoke_01,patient_volume,24,complete
